Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,181.2,183.68,181.2,182.24,14022600,3.0099
2006-01-03,181.92,182.48,180.88,182.16,11006300,3.0085
2006-01-04,183.04,183.6,180.88,182.56,15798900,3.0151
2006-01-05,182.8,183.36,181.76,181.84,71409800,3.0032
2006-01-06,181.84,181.84,181.84,181.84,0,3.0032
2006-01-09,182.8,184.0,181.28,183.28,47244300,3.027
2006-01-10,182.88,183.92,182.32,182.56,42422700,3.0151
2006-01-11,183.52,184.0,182.56,183.84,23234200,3.0363
2006-01-12,183.6,185.28,183.36,183.36,13130800,3.0283
2006-01-13,182.72,183.2,181.44,182.0,71885300,3.0059
2006-01-16,181.84,183.44,181.36,183.04,9212400,3.0231
2006-01-17,181.68,182.16,180.8,181.2,35330300,2.9927
2006-01-18,180.0,180.32,178.72,179.92,85004700,2.9715
2006-01-19,180.08,183.84,179.84,183.36,27927200,3.0283
2006-01-20,183.28,184.4,181.68,182.08,30434500,3.0072
2006-01-23,180.72,182.64,180.16,182.0,22093600,3.0059
2006-01-24,181.52,183.44,181.2,181.6,15703800,2.9993
2006-01-25,182.0,183.6,181.92,183.52,21558600,3.031
2006-01-26,183.44,185.92,183.44,185.36,23659400,3.0614
2006-01-27,186.0,186.8,184.8,186.64,14918300,3.0825
2006-01-30,185.52,186.32,184.48,185.52,13120200,3.064
2006-01-31,185.44,188.16,185.44,187.44,27161000,3.0957
2006-02-01,186.88,190.0,186.4,189.92,25419300,3.1367
2006-02-02,189.76,194.4,189.6,191.28,24745100,3.1592
2006-02-03,192.08,197.12,191.68,196.0,43046400,3.2371
2006-02-06,196.0,200.0,194.72,194.8,23030400,3.2173
2006-02-07,194.8,196.0,188.64,193.2,30848100,3.1909
2006-02-08,191.76,192.96,191.04,192.4,14871600,3.1777
2006-02-09,192.88,195.2,192.56,195.2,17127800,3.2239
2006-02-10,195.12,200.64,194.72,197.84,27225700,3.2675
2006-02-13,197.84,200.48,197.84,199.6,14910200,3.2966
2006-02-14,199.6,200.32,197.44,199.52,14287300,3.2952
2006-02-15,199.76,199.92,197.68,198.56,16854700,3.2794
2006-02-16,198.56,199.12,196.16,197.6,20454400,3.2635
2006-02-17,197.44,199.52,196.88,198.56,15487300,3.2794
2006-02-20,197.6,203.52,197.6,202.8,26861700,3.3494
2006-02-21,214.4,218.72,211.28,215.36,107691200,3.5569
2006-02-22,214.24,221.76,212.32,219.2,45096800,3.6203
2006-02-23,220.8,220.8,215.44,216.64,27583200,3.578
2006-02-24,216.8,222.4,216.8,221.12,38064800,3.652
2006-02-27,220.72,222.32,217.28,217.6,44388400,3.5939
2006-02-28,216.8,217.52,209.84,211.76,54150500,3.4974
2006-03-01,212.0,213.2,209.6,212.8,53297200,3.5146
2006-03-02,213.2,214.0,210.48,211.92,28055000,3.5
2006-03-03,211.6,212.4,209.76,209.76,24218900,3.4644
2006-03-06,209.84,210.48,206.08,207.76,18550500,3.4313
2006-03-07,206.96,207.6,204.32,207.2,21344600,3.4221
2006-03-08,207.6,209.2,206.0,207.36,18362600,3.4247
2006-03-09,210.08,210.24,208.0,208.32,16073000,3.4406
2006-03-10,208.0,211.52,206.88,210.88,13961300,3.4829
2006-03-13,211.2,213.6,209.92,211.68,15233800,3.4961
2006-03-14,210.48,212.8,208.8,212.56,15667700,3.5106
2006-03-15,213.6,213.6,211.28,212.0,19429900,3.5014
2006-03-16,212.0,214.4,210.8,214.08,20936400,3.5357
2006-03-17,214.56,218.32,214.56,215.2,63056000,3.5542
2006-03-20,215.28,219.36,215.28,217.92,29096800,3.5991
2006-03-21,219.04,219.04,215.68,217.92,13044200,3.5991
2006-03-22,216.08,219.2,215.44,219.2,11146300,3.6203
2006-03-23,219.12,219.52,216.8,219.2,15411700,3.6203
2006-03-24,218.4,220.32,218.4,219.28,15421000,3.6216
2006-03-27,217.92,219.04,214.96,215.6,12380000,3.5608
2006-03-28,215.6,216.64,212.16,213.68,23960500,3.5291
2006-03-29,213.92,214.4,212.88,213.92,11633500,3.5331
2006-03-30,214.8,215.52,212.4,214.48,15102300,3.5423
2006-03-31,212.88,214.16,211.36,213.12,49211600,3.5199
2006-04-03,214.56,214.8,211.36,211.52,22031500,3.4934
2006-04-04,211.28,212.64,209.2,211.76,16379000,3.4974
2006-04-05,210.8,214.4,210.0,213.28,20279600,3.5225
2006-04-06,215.12,215.12,210.88,211.6,15787700,3.4948
2006-04-07,211.52,212.0,206.56,208.8,21819400,3.4485
2006-04-10,207.6,211.04,207.2,209.2,6812600,3.4551
2006-04-11,208.16,210.4,204.72,206.0,15952400,3.4023
2006-04-12,205.6,206.96,203.28,205.2,15474400,3.3891
2006-04-13,205.04,206.24,203.2,205.2,8332000,3.3891
2006-04-14,205.2,205.2,205.2,205.2,0,3.3891
2006-04-17,205.2,205.2,205.2,205.2,0,3.3891
2006-04-18,205.2,205.44,200.8,204.56,15818700,3.3785
2006-04-19,205.92,208.4,204.08,207.44,19249200,3.4261
2006-04-20,207.52,209.36,206.64,207.6,10509200,3.4287
2006-04-21,208.48,209.04,207.28,208.32,17909500,3.4406
2006-04-24,207.28,208.32,204.4,205.68,16528300,3.397
2006-04-25,205.04,206.64,202.96,204.4,23959300,3.3758
2006-04-26,205.36,206.0,204.0,205.76,12074900,3.3983
2006-04-27,207.12,207.12,203.6,205.84,44383700,3.3996
2006-04-28,206.4,207.84,204.88,206.56,43713300,3.4115
2006-05-02,206.0,209.44,206.0,208.72,11955600,3.4472
2006-05-03,208.8,210.24,208.4,209.2,15993000,3.4551
2006-05-04,210.16,211.6,208.64,211.2,12117200,3.4882
2006-05-05,211.2,216.72,211.2,216.32,28170500,3.5727
2006-05-08,216.56,216.8,213.76,215.04,22442700,3.5516
2006-05-09,215.04,216.0,213.68,214.96,13837600,3.5503
2006-05-10,214.88,214.88,211.92,213.36,15796600,3.616
2006-05-11,212.8,214.32,210.88,211.52,18504800,3.5849
2006-05-12,210.08,210.08,207.2,207.2,17845800,3.5116
2006-05-15,206.0,206.96,203.28,203.76,49997600,3.4533
2006-05-16,202.88,206.4,202.32,204.88,19591800,3.4723
2006-05-17,204.8,205.36,198.32,199.04,20667500,3.3733
2006-05-18,199.28,200.4,194.16,197.76,23025200,3.3516
2006-05-19,198.16,199.2,194.88,196.88,20886900,3.3367
2006-05-22,196.08,196.08,192.32,193.12,24338300,3.273
2006-05-23,194.88,198.8,192.0,197.2,26500900,3.3422
2006-05-24,196.24,198.0,194.0,196.72,15938500,3.334
2006-05-25,198.0,199.84,194.8,199.84,11971600,3.3869
2006-05-26,200.08,202.56,199.52,202.48,39964200,3.4316
2006-05-29,201.52,203.36,201.2,202.0,6199300,3.4235
2006-05-30,202.48,203.52,197.52,198.72,15024100,3.3679
2006-05-31,196.64,200.8,196.08,200.4,25711700,3.3964
2006-06-01,199.6,199.6,197.6,199.12,21758700,3.3747
2006-06-02,200.88,200.88,198.0,198.4,14491600,3.3625
2006-06-05,198.32,198.96,196.24,198.0,11806600,3.3557
2006-06-06,195.6,199.28,195.6,197.04,22729600,3.3394
2006-06-07,197.84,205.36,196.96,203.12,32981900,3.4425
2006-06-08,198.8,205.6,198.0,200.0,41856200,3.3896
2006-06-09,201.6,204.0,200.0,202.4,51520600,3.4303
2006-06-12,201.68,203.92,200.08,202.32,19522100,3.4289
2006-06-13,202.0,202.24,198.96,200.8,71578700,3.4032
2006-06-14,200.0,202.4,197.68,200.8,51538800,3.4032
2006-06-15,200.8,200.8,200.8,200.8,0,3.4032
2006-06-16,200.8,200.8,200.8,200.8,0,3.4032
2006-06-19,202.8,204.72,201.28,203.76,44236700,3.4533
2006-06-20,203.12,205.92,202.08,205.2,37106200,3.4777
2006-06-21,206.16,208.08,202.96,208.08,66838800,3.5266
2006-06-22,210.32,211.2,208.08,210.0,41074400,3.5591
2006-06-23,209.6,211.12,208.88,211.12,21011300,3.5781
2006-06-26,211.84,211.84,207.44,209.44,49871100,3.5496
2006-06-27,209.76,211.04,207.6,208.48,38863000,3.5333
2006-06-28,208.0,209.6,207.2,208.0,25896000,3.5252
2006-06-29,208.56,212.88,206.88,211.6,31779300,3.5862
2006-06-30,213.92,216.72,212.56,215.44,34899000,3.6513
2006-07-03,213.36,213.36,205.2,210.56,29000500,3.866
2006-07-04,210.56,211.44,209.68,210.4,13825400,3.8631
2006-07-05,208.8,210.4,208.4,210.08,29283200,3.8572
