Fecha Hora;distancia;Valor Minimo;Valor Estimado
05022304;11.808;1181;1687
05130845;11.808;1181;1374
05061928;11.808;1181;1758
05141331;11.808;1181;1582
05141856;11.808;1181;1706
05150124;11.808;1181;1663
05051317;11.808;1181;1651
05131825;11.808;1181;1711
05051416;11.808;1181;1753
04302024;11.808;1181;1700
05020027;11.808;1181;1652
05050548;11.808;1181;1629
05012156;11.808;1181;1727
05042150;11.808;1181;1691
05131925;11.808;1181;1733
05031449;11.808;1181;1862
05061840;11.808;1181;1721
05050436;11.808;1181;1673
05091314;11.808;1181;1673
05030539;11.808;1181;1625
05031456;11.808;1181;1873
05020544;11.808;1181;1583
05060321;11.808;1181;1679
05080131;11.808;1181;1661
05131100;11.808;1181;1339
05020401;11.808;1181;1652
05030353;11.808;1181;1669
05142347;11.808;1181;1681
05071938;11.808;1181;1706
05141050;11.808;1181;1319
05121734;11.808;1181;1749
05121534;11.808;1181;1923
05112239;11.808;1181;1719
05112041;11.808;1181;1712
05051820;11.808;1181;1761
05050438;11.808;1181;1674
05010630;11.808;1181;1579
05061311;11.808;1181;1666
05060721;11.808;1181;1381
05091248;11.808;1181;1612
05120406;11.808;1181;1682
05140831;11.808;1181;1421
05080613;11.808;1181;1589
05142343;11.808;1181;1693
05040233;11.808;1181;1684
05091913;11.808;1181;1734
05011456;11.808;1181;1619
05010315;11.808;1181;1639
05130823;11.808;1181;1334
05142213;11.808;1181;1692
05100619;11.808;1181;1572
04302352;11.808;1181;1684
05090445;11.808;1181;1636
05141402;11.808;1181;1652
05020452;11.808;1181;1646
05041338;11.808;1181;1763
05050751;11.808;1181;1349
05150017;11.808;1181;1712
05110445;11.808;1181;1653
05111101;11.808;1181;1323
05051905;11.808;1181;1722
05010346;11.808;1181;1644
05021102;11.808;1181;1311
05110056;11.808;1181;1680
05021001;11.808;1181;1294
05080833;11.808;1181;1353
05070100;11.808;1181;1723
05031824;11.808;1181;1697
05132241;11.808;1181;1717
05121711;11.808;1181;1744
05010719;11.808;1181;1433
05041431;11.808;1181;1846
05072032;11.808;1181;1731
05060610;11.808;1181;1582
05011913;11.808;1181;1692
05081502;11.808;1181;1587
05091918;11.808;1181;1725
05081524;11.808;1181;1594
05130110;11.808;1181;1705
05132249;11.808;1181;1717
05091714;11.808;1181;1732
05101909;11.808;1181;1726
05150040;11.808;1181;1670
05131053;11.808;1181;1303
05131442;11.808;1181;1877
05040030;11.808;1181;1706
05130443;11.808;1181;1667
05091152;11.808;1181;1352
05011212;11.808;1181;1323
05021112;11.808;1181;1317
05040344;11.808;1181;1658
05011821;11.808;1181;1686
05040911;11.808;1181;1341
05061513;11.808;1181;1854
05110226;11.808;1181;1697
05130911;11.808;1181;1311
05121039;11.808;1181;1291
05030712;11.808;1181;1352
05120418;11.808;1181;1685
05071441;11.808;1181;1647
05041456;11.808;1181;1885
05071111;11.808;1181;1382
05081422;11.808;1181;1439
04302359;11.808;1181;1685
05070705;11.808;1181;1493
05121305;11.808;1181;1693
05061515;11.808;1181;1868
05020530;11.808;1181;1602
05030409;11.808;1181;1662
05021611;11.808;1181;1864
05012249;11.808;1181;1699
05111430;11.808;1181;1855
05031023;11.808;1181;1310
05061552;11.808;1181;1885
05070639;11.808;1181;1574
05021235;11.808;1181;1599
05120120;11.808;1181;1718
05080245;11.808;1181;1648
05141405;11.808;1181;1661
05121545;11.808;1181;1898
05050615;11.808;1181;1575
05090428;11.808;1181;1639
05140802;11.808;1181;1444
05091132;11.808;1181;1311
05090522;11.808;1181;1606
05110908;11.808;1181;1331
05150540;11.808;1181;1590
05131711;11.808;1181;1742
05021125;11.808;1181;1292
05062333;11.808;1181;1698
05042231;11.808;1181;1712
05091158;11.808;1181;1428
05130139;11.808;1181;1688
05051247;11.808;1181;1633
05050224;11.808;1181;1670
05080558;11.808;1181;1623
05121246;11.808;1181;1616
05132340;11.808;1181;1719
05051229;11.808;1181;1583
05021920;11.808;1181;1803
05020608;11.808;1181;1583
05132105;11.808;1181;1730
05112115;11.808;1181;1716
05142009;11.808;1181;1693
05071140;11.808;1181;1319
05122235;11.808;1181;1734
05010343;11.808;1181;1645
05112320;11.808;1181;1687
05040106;11.808;1181;1704
05080157;11.808;1181;1671
05101839;11.808;1181;1715
05020916;11.808;1181;1291
05081642;11.808;1181;1641
05121556;11.808;1181;1890
05100705;11.808;1181;1563
05042034;11.808;1181;1720
05111446;11.808;1181;1923
05050044;11.808;1181;1688
05101250;11.808;1181;1584
05060137;11.808;1181;1697
05030423;11.808;1181;1662
05121626;11.808;1181;1799
05140619;11.808;1181;1590
05110935;11.808;1181;1320
05100128;11.808;1181;1713
05011245;11.808;1181;1354
05121119;11.808;1181;1278
05041446;11.808;1181;1815
05021003;11.808;1181;1294
05120252;11.808;1181;1702
05051850;11.808;1181;1723
05091954;11.808;1181;1753
05142149;11.808;1181;1697
05120036;11.808;1181;1705
05020538;11.808;1181;1591
05140407;11.808;1181;1674
04302354;11.808;1181;1685
05031112;11.808;1181;1378
05031917;11.808;1181;1760
05010252;11.808;1181;1636
05040237;11.808;1181;1690
05020323;11.808;1181;1649
05050943;11.808;1181;1340
05111353;11.808;1181;1798
05111139;11.808;1181;1308
05121849;11.808;1181;1712
05071644;11.808;1181;1690
05101953;11.808;1181;1750
05140918;11.808;1181;1381
05081354;11.808;1181;1450
05140713;11.808;1181;1545
05070818;11.808;1181;1437
05071505;11.808;1181;1657
05121538;11.808;1181;1900
05130847;11.808;1181;1386
05030740;11.808;1181;1336
05090803;11.808;1181;1355
05121326;11.808;1181;1731
05112158;11.808;1181;1725
05100251;11.808;1181;1693
05062257;11.808;1181;1735
05100157;11.808;1181;1696
05100421;11.808;1181;1684
05080409;11.808;1181;1631
05050409;11.808;1181;1655
05021440;11.808;1181;1917
05051126;11.808;1181;1348
05131813;11.808;1181;1735
05101419;11.808;1181;1801
05080545;11.808;1181;1589
05031100;11.808;1181;1319
05021336;11.808;1181;1787
05100626;11.808;1181;1571
05131713;11.808;1181;1759
05141423;11.808;1181;1638
05012148;11.808;1181;1713
05131757;11.808;1181;1764
05142223;11.808;1181;1714
05110924;11.808;1181;1311
05020414;11.808;1181;1659
05131556;11.808;1181;1899
05040307;11.808;1181;1665
05072140;11.808;1181;1683
04302242;11.808;1181;1691
05131903;11.808;1181;1711
05091748;11.808;1181;1699
05140505;11.808;1181;1651
05110550;11.808;1181;1624
05121607;11.808;1181;1857
05131340;11.808;1181;1799
05031254;11.808;1181;1652
05120449;11.808;1181;1675
05031627;11.808;1181;1824
05080459;11.808;1181;1623
05061952;11.808;1181;1804
05030210;11.808;1181;1720
05041939;11.808;1181;1727
05100800;11.808;1181;1352
05061843;11.808;1181;1723
05071911;11.808;1181;1688
05120014;11.808;1181;1723
05070609;11.808;1181;1613
05150957;11.808;1181;1320
05101525;11.808;1181;1836
05071336;11.808;1181;1610
05010236;11.808;1181;1638
05081615;11.808;1181;1616
05141747;11.808;1181;1694
05040858;11.808;1181;1315
05080806;11.808;1181;1378
05100139;11.808;1181;1694
05050240;11.808;1181;1667
05061316;11.808;1181;1666
05030151;11.808;1181;1682
05121548;11.808;1181;1910
05021004;11.808;1181;1294
05111030;11.808;1181;1325
05120433;11.808;1181;1686
05100201;11.808;1181;1699
05062011;11.808;1181;1759
04301808;11.808;1181;1720
05021521;11.808;1181;1974
05010257;11.808;1181;1631
05051336;11.808;1181;1755
05052043;11.808;1181;1750
05021859;11.808;1181;1716
05031639;11.808;1181;1786
05071312;11.808;1181;1606
05092241;11.808;1181;1731
05110251;11.808;1181;1697
05100405;11.808;1181;1684
05041004;11.808;1181;1304
05131108;11.808;1181;1328
05011243;11.808;1181;1364
05071040;11.808;1181;1310
05042030;11.808;1181;1733
04302211;11.808;1181;1709
05130805;11.808;1181;1354
05081204;11.808;1181;1319
05151430;11.808;1181;1552
05030805;11.808;1181;1386
05022242;11.808;1181;1717
05130739;11.808;1181;1522
05030625;11.808;1181;1573
05091321;11.808;1181;1725
05060105;11.808;1181;1689
05060119;11.808;1181;1684
05051323;11.808;1181;1670
05101703;11.808;1181;1787
05061408;11.808;1181;1838
05060226;11.808;1181;1675
05012030;11.808;1181;1678
05020502;11.808;1181;1636
05041208;11.808;1181;1301
05140125;11.808;1181;1690
05121210;11.808;1181;1391
05030359;11.808;1181;1661
05050303;11.808;1181;1671
05080454;11.808;1181;1644
05040300;11.808;1181;1674
05051508;11.808;1181;1783
05041724;11.808;1181;1713
05110405;11.808;1181;1674
05130325;11.808;1181;1666
05050913;11.808;1181;1385
05102122;11.808;1181;1720
05110813;11.808;1181;1342
05010347;11.808;1181;1643
05120414;11.808;1181;1674
05070946;11.808;1181;1342
05111722;11.808;1181;1751
05141810;11.808;1181;1711
05040129;11.808;1181;1690
05042241;11.808;1181;1704
05021304;11.808;1181;1735
05010408;11.808;1181;1629
05071254;11.808;1181;1594
05012123;11.808;1181;1728
05011113;11.808;1181;1291
05060308;11.808;1181;1686
05060840;11.808;1181;1351
05031941;11.808;1181;1765
05010747;11.808;1181;1456
05121043;11.808;1181;1291
05051331;11.808;1181;1696
05092153;11.808;1181;1722
