2015-12-23,15.82
2015-12-24,15.98
2015-12-25,15.98
2015-12-28,15.585
2015-12-29,16.11
2015-12-30,15.97
2015-12-31,15.82
2016-01-01,15.82
2016-01-04,16.015
2016-01-05,16.22
2016-01-06,15.915
2016-01-07,15.85
2016-01-08,15.345
2016-01-11,15.125
2016-01-12,15.425
2016-01-13,15.33
2016-01-14,14.675
2016-01-15,13.825
2016-01-18,13.885
2016-01-19,14.995
2016-01-20,14.295
2016-01-21,13.78
2016-01-22,15.085
2016-01-25,15.02
2016-01-26,14.86
2016-01-27,15.09
2016-01-28,14.4
2016-01-29,17.11
2016-02-01,16.89
2016-02-02,16.57
2016-02-03,16.98
2016-02-04,16.935
2016-02-05,16.84
2016-02-08,15.665
2016-02-09,16.535
2016-02-10,16.07
2016-02-11,15.475
2016-02-12,15.665
2016-02-15,16.485
2016-02-16,15.92
2016-02-17,16.37
2016-02-18,16.03
2016-02-19,15.83
2016-02-22,16.3
2016-02-23,16.17
2016-02-24,15.81
2016-02-25,16.075
2016-02-26,17.01
2016-02-29,17.45
2016-03-01,17.99
2016-03-02,17.73
2016-03-03,17.46
2016-03-04,16.82
2016-03-07,17.03
2016-03-08,16.46
2016-03-09,16.43
2016-03-10,16.25
2016-03-11,16.71
2016-03-14,16.97
2016-03-15,17.08
2016-03-16,17.235
2016-03-17,17.14
2016-03-18,17.215
2016-03-21,17.075
2016-03-22,17.405
2016-03-23,17.395
2016-03-24,17.05
