Dia,Hora,ValorMedio,Indice,Valor
16,0,6130.0,59,95.0
16,1,5776.0,59,95.0
16,2,5647.0,59,95.0
16,3,5707.0,59,95.0
16,4,5742.0,59,95.0
16,5,5720.0,59,95.0
16,6,5769.0,59,95.0
16,7,5672.0,59,95.0
16,8,5680.0,59,95.0
16,9,5883.0,59,95.0
16,10,5782.0,59,95.0
16,11,5778.0,59,95.0
16,12,5741.0,59,95.0
16,13,5688.0,59,95.0
16,14,5619.0,59,95.0
16,15,5720.0,59,95.0
16,16,5815.0,59,95.0
16,17,5870.0,59,95.0
16,18,5680.0,59,95.0
16,19,5779.0,59,95.0
16,20,5790.0,59,95.0
16,21,5843.0,59,95.0
16,22,5725.0,59,95.0
16,23,5721.0,59,95.0
17,0,5732.0,59,95.0
17,1,5813.0,59,95.0
17,2,5681.0,59,95.0
17,3,5793.0,59,95.0
17,4,5750.0,59,95.0
17,5,5811.0,59,95.0
17,6,5812.0,59,95.0
17,7,5748.0,59,95.0
17,8,5778.0,59,95.0
17,9,5926.0,59,95.0
17,10,5753.0,59,95.0
17,11,5688.0,59,95.0
17,12,5766.0,59,95.0
17,13,5824.0,59,95.0
17,14,5713.0,59,95.0
17,15,5819.0,59,95.0
17,16,5695.0,59,95.0
17,17,5843.0,59,95.0
17,18,5889.0,59,95.0
17,19,5761.0,59,95.0
17,20,5672.0,59,95.0
17,21,5671.0,59,95.0
17,22,5674.0,59,95.0
17,23,5700.0,59,95.0
18,0,5776.0,59,95.0
18,1,5687.0,59,95.0
18,2,5782.0,59,95.0
18,3,5741.0,59,95.0
18,4,5677.0,59,95.0
18,5,5734.0,59,95.0
18,6,5706.0,59,95.0
18,7,5767.0,59,95.0
18,8,5667.0,59,95.0
18,9,5744.0,59,95.0
18,10,5715.0,59,95.0
18,11,5715.0,59,95.0
18,12,5800.0,59,95.0
18,13,5702.0,59,95.0
18,14,5793.0,59,95.0
18,15,5845.0,59,95.0
18,16,5811.0,59,95.0
18,17,5901.0,59,96.0
18,18,5869.0,59,95.0
18,19,5882.0,59,95.0
18,20,5754.0,59,95.0
18,21,5960.0,59,95.0
18,22,5834.0,59,95.0
18,23,5770.0,59,95.0
19,0,5752.0,59,95.0
19,1,5707.0,59,95.0
19,2,5697.0,59,95.0
19,3,5721.0,59,95.0
19,4,6037.0,59,97.0
19,5,5850.0,59,95.0
19,6,5680.0,59,95.0
19,7,5753.0,59,95.0
19,8,5820.0,59,95.0
19,9,5755.0,59,95.0
19,10,5805.0,59,95.0
19,11,5774.0,59,95.0
19,12,5964.0,59,95.0
19,13,5788.0,59,95.0
19,14,5857.0,59,95.0
19,15,5767.0,59,95.0
19,16,5806.0,59,95.0
19,17,5843.0,59,95.0
19,18,5797.0,59,95.0
19,19,5854.0,59,95.0
19,20,5913.0,59,95.0
19,21,5707.0,59,95.0
19,22,5765.0,59,95.0
19,23,5824.0,59,95.0
20,0,5813.0,59,95.0
20,1,5713.0,59,95.0
20,2,5698.0,59,95.0
20,3,5722.0,59,95.0
20,4,5867.0,59,95.0
20,5,5724.0,59,95.0
20,6,5868.0,59,95.0
20,7,5737.0,59,95.0
20,8,5750.0,59,95.0
20,9,5804.0,59,95.0
20,10,5732.0,59,95.0
20,11,5704.0,59,95.0
20,12,5946.0,59,95.0
20,13,5754.0,59,95.0
20,14,5772.0,59,95.0
20,15,5744.0,59,95.0
20,16,5972.0,59,96.0
20,17,5914.0,59,95.0
20,18,5723.0,59,95.0
20,19,5741.0,59,95.0
20,20,5767.0,59,95.0
20,21,5794.0,59,95.0
20,22,5716.0,59,95.0
20,23,5673.0,59,95.0
